#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(B+->K+  a)*BR_theo(a->  gamma  gamma) ,        BR_BaBar(B+->K+  a)*BR_BaBar(a->  gamma  gamma) ,  Allowed/excluded  (1/0) 

0.15108560153798137,1.2266326352483441e-05,2636.6508987303664,1300.8431329240275,1.855e-07,0
0.15108560153798137,8.527461712131131e-07,10000.0,18711.976052766677,1.855e-07,0
0.16408455124660903,7798003999652024.0,1e-07,3.4622391987941176e-17,2.0046e-06,1
0.16408455124660903,542111620510767.44,3.792690190732254e-07,4.980257588734445e-16,2.0046e-06,1
0.16408455124660903,37687209328910.33,1.438449888287663e-06,7.163850972238843e-15,2.0046e-06,1
0.16408455124660903,2619987641960.367,5.455594781168514e-06,1.0304840632355333e-13,2.0046e-06,1
0.16408455124660903,182139652105.1863,2.06913808111479e-05,1.4822996887953809e-12,2.0046e-06,1
0.16408455124660903,12662215391.394352,7.847599703514623e-05,2.1322138686065594e-11,2.0046e-06,1
0.16408455124660903,880261883.4345217,0.00029763514416313193,3.0670826132502704e-10,2.0046e-06,1
0.16408455124660903,61188660.91209476,0.0011288378916846883,4.41182598358735e-09,2.0046e-06,1
0.16408455124660903,4252702.411794418,0.004281332398719396,6.346083731237444e-08,2.0046e-06,1
0.16408455124660903,295595.1930742747,0.01623776739188724,9.128381715979562e-07,2.0046e-06,1
0.16408455124660903,20548.344677786736,0.06158482110660267,1.3130636536433763e-05,2.0046e-06,0
0.16408455124660903,7793.281942400579,0.1,3.462087085443612e-05,2.0046e-06,0
0.16408455124660903,3766.4223745394215,0.14384498882876628,7.163532741548126e-05,2.0046e-06,0
0.16408455124660903,1820.280098901887,0.20691380811147897,0.00014822333315498595,2.0046e-06,0
0.16408455124660903,1428.4818162121273,0.23357214690901212,0.0001888772687987741,2.0046e-06,0
0.16408455124660903,879.7267953529395,0.29763514416313175,0.00030669446953344017,2.0046e-06,0
0.16408455124660903,425.1651898047099,0.42813323987193935,0.0006345930996924995,2.0046e-06,0
0.16408455124660903,205.47915689580037,0.6158482110660264,0.001313060594801421,1.3751824130097875e-06,0
0.16408455124660903,99.30657127409636,0.8858667904100825,0.0027169034576906845,8.525018521665136e-07,0
0.16408455124660903,99.30657127409621,0.8858667904100832,0.0027169034576907136,8.525018521665128e-07,0
0.16408455124660903,47.99414896573817,1.2742749857031335,0.005621648087323476,5.998942179706201e-07,0
0.16408455124660903,23.195229258678708,1.8329807108324356,0.011631965675623978,4.1207126745238976e-07,0
0.16408455124660903,11.21008975685201,2.636650898730358,0.024068142474655392,2.75352786108552e-07,0
0.16408455124660903,6.903712896797607,3.359818286283788,0.03908128937703078,2.262285098069581e-07,0
0.16408455124660903,5.417757258470318,3.79269019073225,0.04980030918170197,2.092777185220126e-07,0
0.16408455124660903,2.6183639795064,5.455594781168517,0.10304371480581065,1.855e-07,0
0.16408455124660903,1.2654369415550601,7.847599703514611,0.21321167234814334,1.855e-07,0
